Title,Info,tel,Company1
Hermes Tourisme & Voyages,"villa N° 01 Nach El Djadid,Biskra,Algéri...",033 52 33 37 / 0552 39 42 43 / 0560 06 11 12,info@hermesbooking.com
Touba Tours,"22, Route de Ain Benian, Chéraga,Alger,A...",023 36 18 80 / 0550 53 04 93 / 0771 11 52 60 / 0550 49 55 47 / 0771 11 52 60,toubatours@yahoo.fr
Agence Mekerra Voyages,"3 et 5, Rue Benchohra Yahia,Sidi Bel Ab...",048 74 15 57 / 0560 74 41 97,mekerratravel@gmail.com
Garden Travel,"Route Nationale, N°38 local A5, Bourouba...",023 76 74 82 / 0661 76 13 87 / 0661 76 13 88 / 0661 76 13 89 / 0550 36 36 79,gardentravel28@yahoo.com
Agence Tanouchert Tours,"Cité 1602 logt, Zarhouni Makhtar, 16c Bt...",0561 67 84 60 / 0561 67 84 61 / 0561 67 84 62 / 0561 67 84 63,tanouchert.tours@outlook.com
Agence Trio Travel,"Cité Said Hamdine, 384 log, villa N°19,...",0561 63 38 33 / 0561 63 37 33 / 0561 63 34 33,contact@triotravel-dz.com
Dounia Essafar Voyage et Tourisme,"149, Avenue Yousfi Abdelkader (rue du 19...",025 30 50 23 / 0550 94 00 28,douniaessafar@gmail.com
KDS / Kimat el Diafa Services,"Rue Saidi Ahmed n°173 .Bordj El Kiffan,A...",023 97 41 31 / 0552 82 55 38 / 0542 41 46 84 / 0551 86 54 86,agence.kds@hotmail.fr
Station d'essence carrefour de l'est,"Cité 32 logts, zone d'équipements. Route...",0661 11 11 40,snc_khobzi@yahoo.fr
Air Express Algeria,Cité Said Hamdine 90 Logements Batiment...,023 81 95 10 / 0550 90 30 60,c.ceo@airexpress-dz.com
TAP Portugal,"2A1 Niveau 108, Riadh El Feth,El Madania...",021 67 78 59,tap@soleil-voyages.net
FEDEX Express Algérie,"Zone Industrielle, lot N° 2, Oued Smar,A...",021 75 55 66 / 0555 04 00 59,contact@falconexpress.dz
ALTISA,"5, Rue Abane Ramdane. Alger Centre,Alger...",021 71 60 53 / 021 71 60 54 / 0660 83 56 89,info@altisa-dz.com
Transit El Mordjane,"1, Rue Lakhdar Saidi, Bab El Oued,Alger,...",023 17 36 34 / 0661 53 17 00 / 0551 12 13 50,transitelmordjanealmger@yahoo.fr
MTA / Maghrébine de Transport & Auxiliai...,Avenue Ramdhan Ben Abed el Malek avant p...,021 42 43 69,rhamrouchi@mta.dz
MED-SEA Shipping Algeria d'Alger,"Résidence El Djamila Bt 4 N°3, hydra,Alg...",023 48 27 85 / 0661 56 80 00,medsea.algiers@medseashipping.com
EGPP / Entreprise de Gestion des Ports &...,"2, rue d'Angor,Alger,Algérie",021 43 83 64 / 021 43 92 22,egppalger@yahoo.fr
Gofast Freight Forwarding,"02 RUE AHMED CHERIF RAMPE GERARD Kouba,A...",0982 21 82 88 / 023 71 87 34 / 023 71 87 87 / 0555 01 93 94,w.chabbi@gofast-freightforwarding.com
AACM / Agence Maritime,Cité Bois Des Cars II .Villa n°117. Dely...,0555 98 46 76,info@aacmdz.com
ALSHIPLINK / Algerian Shipping Link,"07, Mezigheche Mohamed Laid, Quartier de...",038 40 16 68 / 0661 52 93 47,ops@alshiplink-dz.com
GEMA / Société Générale Maritime Mostaga...,"36, Rue des Frères Benchaâ Plateau,Mosta...",045 33 04 58 / 0770 27 51 00 / 0770 91 96 70 / 0671 70 86 03,gema-mosta@gema-group.com
GEMA / Société Générale Maritime Ghazaou...,"01, Avenue du 1er Novembre.Ghazaouet.Bp...",043 47 21 28 / 0770 90 61 46 / 0770 91 96 72 / 0671 70 79 21,gema-ghaza@gema-group.com
GEMA / Société Générale Maritime / Ténès,"Rue de la Palestine, cité Boualoufa bloc...",027 76 75 67 / 027 76 65 90 / 0770 94 39 52 / 0671 70 86 03,gema-tenes@gema-group.com
Trade Transit,"03, rue Warnier. Alger Centre,Alger,Algé...",021 73 51 52 / 0556 94 33 88,tradetransit@outlook.com
MSCA / Mediterranean Shipping Company Al...,"Lotissement Hachemi, coopérative El Wafa...",,dza-info@msc.com
Michel Hurel Algérie,"Cité 42 logts , bt C4 n°3. Hydra,Alger,A...",023 23 03 47 / 023 23 03 48 / 0560 92 02 22 / 0550 54 13 08,basilh@michel-hurel.co.uk
STM AFRIQUE/ Société de Transit Mixtes A...,"6, Rue Mohamed Neggazi, Sidi M'hamed,Alg...",,alger_stma@yahoo.fr
El Amana Transit,"2, rue Maurice Ravel.Alger Centre,Alger,...",023 50 54 44 / 0770 92 35 35,contact@elamanatransit.com
GT / GLOBE TRANSIT,ZONE DE AIN EL BEY CITE ZOUAGHI G I C G...,031 69 26 50 / 031 69 26 69 / 0560 00 62 01,globetransit@hotmail.com
RAYANE,"Site Groupe Industriel Sider Chaiba, Sid...",038 57 42 60 / 0552 37 35 20 / 0661 67 37 72,rayanegroupe@hotmail.fr
TTS/ Toumi Travels Services,"Rue 24 Février n°4, cours de la Révoluti...",038 45 21 14 / 038 45 21 94 / 0550 09 20 91 / 0661 95 83 31,toumitravelservices@gmail.com
Nolis,"138, Lotissement Mohamed,Saidoune, kouba...",023 54 37 84,contact@nolis-spa.com
SOGEMCO/ Société de Gestion Maritime & d...,"24 LOT. KHODJA 16 kouba,Alger,Algérie,16...",023 78 18 26 / 023 78 18 27,sales@sogemco.com
Gofast LT,"Cité Chabani Mohamed, Hassi Messaoud,Oua...",029 79 15 20,o.moualek@gofast-freightforwarding.com
AEC / Arc En Ciel Tlemcen,"1, rue du marché de gros, Zone Industrie...",043 22 84 70 / 0661 62 82 65 / 0661 62 82 64,aec.tlemcen@gmail.com
Mille Coupoles,Zone Industrielle Bir Messaoud en face S...,029 73 66 66 / 029 73 84 54 / 029 73 34 75 / 029 73 62 86 / 029 78 00 77,smc@genouba.com
SERTRAG,"Zone du Stade Bp 888. Hassi Messaoud,Oua...",029 78 37 06 / 029 78 37 07 / 0661 51 28 98 / 0661 38 26 14 / 0770 86 14 61,sertrag@gmail.com
Transports Kaidomar / Murad's Truck,"Zone Industrielle lot n°46,Mostaganem,Al...",0661 80 96 54 / 0661 80 98 12,contact@kaidomar.com
TRIMEX / Transit Import Export El Oued,"Gare Routière,El Oued,Algérie,39000",032 11 06 09 / 032 11 06 05 / 032 11 06 07,eloued@trimex-dz.com
Transit Belkacem,"5, rue des Aurès,Oran,Algérie",041 36 15 86 / 041 36 15 57 / 0555 08 73 42,transitbelkacemoran@yahoo.fr
Transit Imene El Biskria,"52, Rue des Oasis, Mohammadia,Alger,Algé...",023 75 17 90 / 0554 84 84 84,contact@lachter-dz.com
TIBA International Algérie,CITE SALEM 2 LOT 115 FERME TAHAR BOUCHET...,023 59 93 01 / 023 59 93 14 / 0770 32 25 12 / 0770,alger@tibagroup.com
Marfret Algérie,"7, rue El Khettabi,Alger,Algérie",021 73 14 14 / 0770 27 84 36,dcarles@marfret.fr
SERITRANS,"8, Rue Loverdo, Alger Centre,Alger,Algér...",021 71 98 85,transitseritranstakfarines@yahoo.fr
Murad's Truck,"46, Rue Benhamada Sadek,Mostaganem,Algér...",045 43 40 01 / 0661 80 96 54,contact@transportskaidomar.com
Tbs Transit,"98, Rue Didouche Mourad. Alger Centre,Al...",023 49 13 32,tbs@tbstransit.com
Corafa Amroune & Cie Alger,"6, Rue Mohamed Negazzi,Meissonnier. Sidi...",021 23 88 07 / 021 23 82 96,corafalger@yahoo.fr
NASHCO/ National Shipping Company Bejaia,"Boulevard Amirouche, Résidence le Bois,...",034 12 85 28 / 0661 63 17 96,direc-bej@nashco.com.dz
NASHCO/ National Shipping Company Annaba,"Bd Benabdelmalek route de l'avant-port,A...",038 45 48 55,com-anb@nashco.com.dz
STIM / Société de Transport Intermodal d...,"Gare sntf de annaba,Annaba,Algérie,23000",,
Khentouche Slimane de Transport,"N°4, rue de Biskra. Commune Arris,Batna...",033 20 20 46 / 0661 34 02 66 / 0661 82 62 57,slimanekhentouche@yahoo.fr
Entreprise Portuaire de Annaba,"Mole Cigogne, Quai Nord, Bp n°1232,Annab...",038 86 40 35 / 038 86 21 19 / 038 45 47 37 / 038 45 47 38,epan@annaba-port.com
Logitrans,"27, Rue des Trois Frères Bouadou. Bir Mo...",023 54 21 81 / 023 54 21 82 / 0780 53 86 21,contact@sntr-groupe.dz
STS Travel / ALSAQUIFA,"16, rue Aouati Mostapha,Constantine,Algé...",031 92 24 98 / 0557 18 55 19,sts.travel@hotmail.fr
Atem / Transit Mahimoud,"16, rue Benmeliek. El Khroub,Constantine...",031 92 32 91 / 0550 53 27 83,sarlmahimoud@gmail.com
Ruisseaux Tourisme Et Voyage,"Boulevard Ferrah Ahmed Bt A N°02,Medea,A...",025 58 83 33 / 0556 09 86 23,gtstravler@gmail.com
Aladin Holidays,"3, rue des frères Bouadou. Bir Mourad Ra...",023 54 03 08 / 0552 99 57 96 / 0661 45 53 66,aladin-holidays@hotmail.fr
Benameur Tourisme et Voyage,"Local D, cité des 62 logts.Staouali,Alge...",021 62 17 08 / 021 62 16 29 / 0550 11 02 60 / 0552 14 29 30 /,benameurtours@gmail.com
El Raouassi Tourisme et Voyage,Villa n°06.Cité Bronca.Gue de Constantin...,021 83 59 45 / 021 83 59 46 / 0556 86 47 74 / 0772 16 02 30,elraouassivoyages@gmail.com
Etterhal Voyages et Tourisme,"30, rue Mohamed Saidoune.La Cadette.Koub...",023 71 38 67 / 0553 00 67 40,terhalvoyages@hotmail.com
Melyna Voyages,"8, rue du Stade.Draria,Alger,Algérie",021 35 07 66 / 0554 82 27 74 / 0551 25 54 24,contact@melynavoyages.com
NT / NADJIB TOURS,"Bt 8, n°1.Cité 180 logts.Mohammadia,Alge...",020 39 34 52 / 0561 69 02 46 / 0560 03 98 86 / 0560 04 22 97,nadjibtours@yahoo.fr
STA / Savoyage Tours Agency,"24, rue Daib Aissa.Bordjb El Kiffan,Alge...",0778 38 18 55 / 0561 61 69 09,sta@savoyagetour.com
Sources Voyages,"8, Guy Maupassant.Les Souerces.Bir Moura...",021 56 45 57 / 0780 80 01 20 / 0780 80 01 24,sourcevoyages@gmail.com
Alouaoui Djilali,"Quartier Mekrez,Medea,Algérie,26000",0798 59 37 58,
Tripto Algeria,"Bt 04, cité 154 logts.Ammara.Cheraga,Alg...",023 36 66 36 / 0560 01 51 10,triptoalgeria@gmail.com
Formule1 Voyages,"45, rue Mohamed Khemisti,Oran,Algérie",041 33 26 88 / 041 33 26 93 / 0555 00 33 03 / 0661 20 56 90,contact@formule1voyages.com
Maghreb Tourisme,"10, rue des Aures(ex rue de la Bastille)...",041 36 15 98 / 041 36 15 91 / 0551 21 68 17 / 0554 37 57 22,maghrebtourisme@yahoo.fr
Narimane Bureau d'Affaires Immobilières...,"Lot Aissat n°8.Cheraga,Alger,Algérie",023 30 13 54 / 0550 90 90 07,
FIDA Tourisme et Voyage,"Rue Salah Mazouz, Ras El Oued,Bordj Bou...",035 73 33 34 / 0770 66 87 52 / 0770 66 87 51,fida.tours@yahoo.fr
Rahil Tourisme et Voyage,"Rue Hamida Salah Bordj Gedir Centre,Bord...",,rahiltourisme@yahoo.fr
Mad Diffusion Services,"Bt 4, n°27.Cité 154 logts. Amara.Chéraga...",023 36 66 34 / 0560 01 51 10,info@maddiffusion.com
North Africa Maritime Services / Agence...,Zone industrielle Zouine.Baba Ali.Bp 78...,023 58 95 09 / 023 58 95 10,commercial@namsdz.com
Al Wessal Travel,"Lotissement Ben Hassadi Said.Chéraga,Alg...",021 91 74 52 / 021 91 03 37 / 0770 11 38 02,alwessal.travel@gmail.com
Dima Voyages,Centre Commercial Mohammadia Mall(Mohamm...,023 80 80 80 / 0550 54 66 18 / 0552 16 75 85,commercial@dima-voyages.com
DIRECTOURS,"Rue Tella Ahcene.Lot n°7. Chéraga,Alger,...",023 22 40 85 / 0559 29 29 60 / 0667 39 76 76,contact@directours-dz.com
Djemila Voyages,"Centre Commercial, Stade du 20 Aout. Bel...",021 67 89 29 / 021 67 89 30 / 021 67 89 38 / 0771 37 19 41,belouizdad@djemilavoyages.com
Easy Road,"14, Rue Djenane Achabou.Chéraga,Bechar,A...",023 29 09 60 / 0560 98 78 90 / 0550 06 10 30 / 0552 64 60 47,info@easyroadvoyage.com
Liberte Tours,"32, chemin Parmentier. Hydra,Alger,Algér...",023 47 32 05 / 0550 60 60 93 / 0550 60 60 92,conatct@liberte-tours.com
Medisol Voyages,3.BOULEVARD SIDI YAHIA - BIR MOURAD RAIS...,021 54 61 78 / 021 54 94 19 / 0560 03 74 51,contact@medisolvoyage.com
Meissane Tours,"Les Asphodéles .Bt D2.Ben Aknoun,Alger,A...",021 79 70 11 / 0550 49 54 61,meissane.tourin@gmail.com
Tapis Rouge,"20, Rue de Savoie .Hydra,Alger,Algérie,1...",023 48 04 31 / 023 48 04 30 / 0770 52 42 48 / 0770 52 42 49,tapisrouge@tapisrouge.biz
Timboo Voyage,"Cité EPLF, Bt E56, Local N°41, Oued Roma...",021 94 84 36 / 0770 31 10 56,contact@timboo-voyage.com
Youbi Tourisme et Voyages,"Centre D'Affaires ""Tassili"", 14, Rue Okb...",038 84 82 22 / 038 84 82 23 / 038 44 82 26 / 0550 66 60 01 / 0660 83 18 95,contact@youbivoyages.com
Le Bel Eden Tours,"14, rue Capitaine Hadri Mohamed.Centre V...",041 33 60 69 / 0770 37 00 19 / 0770 99 25 50 / 0770 99 25 51 / 52 / 53 / 54,contact@beledentours.com
El Yousr Voyages,"58, Avenue Du 1er Novembre,Setif,Algérie",036 53 84 12 / 0555 07 22 42 / 0555 48 28 28,elyousrvoyages@hotmail.com
Babel Tourisme,"09, Rue Chrait Lazher,Souk Ahras,Algérie",037 72 42 13 / 0550 66 60 01 / 0660 57 14 96 / 0660 57 14 97,contact@babel.youbivoyages.com
Charah Voyage,"02, rue des Frères Ayad Remchi,Tlemcen,A...",043 26 11 35 / 0770 67 16 52,charah-voyage@hotmail.fr
Chek Tour Events,"Riadh El feth, Niveau 117, El Madania,Al...",021 67 16 98 / 021 68 50 02 / 0661 52 53 76 / 0665 08 43 77,chektour@gmail.com
Aida Traiteur,"Cité des 348 Logements, Said Hamdine. Bi...",0795 00 16 75 / 0553 74 38 28,aidatraiteur@yahoo.fr
Aux Deux Chameaux,"Coop CITSW, Lotissement Mimosas N°38. Be...",023 18 75 27 / 0656 10 02 17 / 0560 62 64 71 / 0560 03 55 40 / 0554 59 91 34,2chameaux@netcourrier.com
Best Traiteur,"Place des Martyres, Bordj El Bahri,Alger...",023 87 14 82 / 0550 70 07 60 / 0664 48 88 28,besttraiteur@yahoo.fr
CLUB'IN,"20, rue Idir Toumi Ben Aknoun,Alger,Algé...",0550 21 62 13 / 0559 05 41 69,sarlclubin.dz@gmail.com
EOCA / Orange Catering Algérie,"Cité Pons, Villa N°11, Jolie Vue. kouba,...",0560 30 70 77 / 0561 60 21 80,orange.dz@hotmail.fr
Food Ex,"N°7, Cité Mouloud Abdli,. Khraicia,Alger...",0560 94 21 53 / 0560 63 77 21,foodex.livraison@gmail.com
Illico Resto,"N°4, Cité Sidi Merzouk. Ben Aknoun,Alger...",021 94 64 93 / 0661 53 97 39,bounekrafnabil@gmail.com
J3 Traiteurs,"15, Bd Mustapha Ben Boulaid. Alger Centr...",021 71 57 35 / 0555 92 24 80,restaurant-traiteur-j3@live.fr
Joy Food,"N°28, Hai El Bina, Dely Ibrahim,Alger,Al...",023 30 47 25 / 0783 20 00 06 / 0770 99 96 68 / 0783 20 09 10,joyfood@hotmail.fr
L'Oliveraie Karim Traiteur,"4 bd Amirouche, rue Berlioz.Alger Centre...",023 49 26 38 / 0661 93 60 38,karimtraiteuralger@gmail.com
Kcs Catering Garden Services,"Lotissement Les Oliviers, Villa N°20, Ou...",0779 54 57 20 / 0550 84 90 52,traiteurdesjardins@gmail.com
Le Petit Palais Traiteur,"146, Bd Krim Belkacem, Télémly. Alger Ce...",021 68 13 78 / 0770 49 60 30 / 0550 37 00 03 / 0556 35 72 42,djam_bela@hotmail.fr
Le Pilon D'Or,"Coopérative Essaâda N°80. ouled Fait,Alg...",0792 75 32 90 / 0561 63 36 60 / 0561 63 36 61,traiteurlepilondor@gmail.com
Les 7 Délices,"Cité Annacer 04, bt 38, appart 9. Kouba,...",0550 92 15 74 / 0550 91 66 68 / 0550 13 31 71,lesseptdelices@yahoo.fr
Les Gourmandes Traiteur,"Chemin De La Touche. Ben Aknoun,Alger,Al...",0669 44 34 28 / 0551 91 70 13,lesgourmandes@hotmail.com
Marhaba Traiteur,"01, Place Emir Abdelkader,Alger,Algérie",0770 48 83 66 / 0770 44 54 46,marhabatraiteur@hotmail.fr
Must Traiteur,"Place Des Martyrs (15,72 km) 16000 .Bord...",023 87 14 72,traiteur.must@gmail.com
Noor El Hani,"Cité des 554 Logements, Said Hamdine. Bi...",021 54 93 10 / 0556 27 95 14 / 0661 34 97 10,noorelhani.appro@gmail.com
Nostrum,"32, Boulevard Emir Khaled. Bologhine,Alg...",0550 68 26 77 / 0549 30 28 47,
Oh Saveurs De France,"09, rue Tahar Belakhdar. Staouéli,Alger,...",0554 14 73 56 / 0552 23 46 74 / 07 74 38 39 68,contact@ohsaveursdefrance.com
Que Aproveche,"Route de Wilaya N°13, Lot N°1, Local 31A...",0770 51 58 25 / 0770 51 58 26,queaproveche@gmail.com
Rahet El Bal,"Lotissement 1200 Logements. Bab Ezzouar,...",023 83 58 06 / 0551 38 06 03,contact@restaurant-rahetelbal.com
Raissi Traiteur,"Boulevard Boujemaa Khelil BP 154, Oued R...",021 30 75 64 / 0770 67 08 08 / 0553 63 01 87,contact@raissitraiteur.com
Sabbah,"Villa N°7, Lotissement Les Sources. bir...",0661 57 23 16 / 0553 55 21 22,resto.sabbah@yahoo.fr
Shana Traiteur,"12 Bis, Rue Du Stade. Hydra",0770 93 89 22 / 0770 93 89 25 / 0770 54 15 50,shanatraiteur@gmail.com
Sosha Catering,"Villa N°2, Coopérative Immobilière El Ba...",023 96 03 61 / 0770 96 15 09 / 0555 07 30 93 / 0555 61 08 79,contact@sosha-catering.com
Szo Traiteur,"Route Des Dunes, N°412. Chéraga,Alger,Al...",0551 21 18 26,eurlszo@yahoo.fr
Toufouti Traiteur / Traiteur El Andalous...,"182, Rue Mohamed Belouizdad,Alger,Algéri...",021 67 19 92 / 0661 30 16 79,
Bibans Tours,"Centre commercial, rue Abdelkader El Bar...",035 73 50 05 / 0772 17 07 34,bibansvoyage@yahoo.fr
Anis Traiteur,"121, Coopérative El Wigda. Yaghmouracen,...",041 24 83 40 / 0770 95 00 60 / 0553 26 94 18,anis.traiteur@hotmail.fr
Mahmoudi Tourisme et Voyage,Avenue Houari Boumediene. Cité Abdelmoum...,035 74 82 04 / 0774 00 80 85,mahmoudi_73@gmail.com
Assure Foods,"09, Rue Du Hoggar,Coopératif El Akid Lot...",041 24 83 24 / 0661 31 40 08,assure-foodsdz@gmail.com
Hôtel Abbasside Palace,"N°09, Palm Beach.Staouéli,Alger,Algérie",023 20 10 48 / 0770 22 02 75,reservationabbassidepalace@gmail.com
El Biar Hôtel,"01, Boulevard Du 11 Décembre 1960. El Bi...",021 91 25 43 / 021 91 60 30,elbiarhotel@gmail.com
Hôtel Dar Diaf-Bouchaoui,"Domaine Hamza, Bouchaoui 3. Chéraga,Alge...",023 22 80 80 / 023 22 82 82 / 0560 01 19 80,info@dardiafbouchaoui.com
Hôtel Dar Tlidjene,"021, rue De L'hôpital. Ain Taya,Alger,Al...",023 95 47 92 / 0661 50 42 57,
Hôtel Hammamet Alger,"Route Nationale, Grand Rocher, Cap Caxin...",023 21 60 05 / 023 21 60 59 / 0561 62 61 85 / 0770 32 61 36 / 0560 62 61 85,contact@hotel-hammamet-alger.com
Hôtel Le Corsaire,"3, rue Kehil Bachir. Surcouf. Ain Taya,A...",021 86 69 15 / 0661 57 21 05,hotellecorsaire@gmail.com
Hôtel Sidi Thameur,"05, Boulevard Emir Khaled.Bologhine,Alge...",021 96 12 16 / 021 97 73 68 / 0661 51 82 25,hotel.lesidithameur@hotmail.fr
Hôtel Necib Beach,"38, Palm Beach.Staoueli.Bp 191,Alger,Alg...",0555 00 97 67,hotelnecib@yahoo.fr
Hôtel Restaurant Dar El-Aaz,"06, Lotissement Boushaki. Bab Ezzouar,Al...",0555 01 46 79,hotelaaz@hotmail.fr
Résidence Moncada,"Parc Zoologique Et Des Loisirs, BP 165....",021 94 80 20,
Palace Events,"Route Ali Sadek, N°145. Bordj El Kiffan,...",021 20 29 10 / 0561 61 63 18,events@palace-apparthotel.com
Mimosa Palace,Boulevard Sidi Achour (Face au Parce D'a...,038 47 80 97 / 038 47 80 96 / 0696 47 89 31,mimosa@mimosa-palace.com
Auberge Thaïs / Belkacem Mokhtar,"Route Nationale N°24,Bejaia,Algérie,0600...",0557 32 14 27 / 0770 34 74 22,reservation@aubergethais.com
Complexe Touristique Adim,"Route Du Sahel, Zemmouri El Bahri,Boumer...",024 98 85 89 / 0661 65 58 31 / 0771 36 24 36,contact@complexe-adim-hotel.com
Hôtel Novotel Constantine,"01, Square Hadj Ali,Constantine,Algérie",031 99 20 00 / 031 99 20 14,h6492@accro.com
Complexe Hôtel El Mountazah,"Les Sablettes,Mostaganem,Algérie",045 42 01 62 / 0770 47 09 26,contact@hotel-elmountazah.com
Liberté Hôtel,"Zone Des Sièges USTO,Oran,Algérie",041 70 60 00 / 041 70 60 02 / 041 70 60 05 / 0561 69 97 34 / 0561 69 97 35 / 0561 69 97 36,contact@libertehoteloran.com
Nord Sud Voyages,"57, rue Pasteur,Ain Temouchent,Algérie,4...",0661 22 70 22 / 0661 85 85 10 / 0555 04 02 48,nordsud_voyages@yahoo.fr
Hôtel Ittourar,"Lotissement Amyoud, N°9, Boulevard Nouve...",026 18 50 20 / 026 18 50 40 / 026 18 50 50,contact@hotel-ittourar.com
Hôtel Agadir,"19, Boulevard Khedim Ali,Tlemcen,Algérie",043 27 19 62 / 043 26 21 49 / 0664 43 67 45,hotel-agadir-tlemcen@live.fr
Hôtel Ibis Tlemcen,"Boulevard El Kiffane,Tlemcen,Algérie",043 98 10 10,h6583@accro.com
L'Hirondelle Belaid et Cie,"05, rue Douzi Mohamed 3, Verte Rive. Bor...",023 80 14 14 / 023 80 15 17,contact@hotelhirondelle-alger.com
Stand'all / KIFFAN CLUB,"Rue De La rassauta. Bordj El Kiffan,Alge...",023 87 30 59 / 0554 50 97 73 / 0554 50 97 76,contact@stand-all.com
Transit Ayas,"10, rue Zirout Youcef,Jijel,Algérie,1800...",034 47 12 54 / 0661 33 51 72,ayasmohamed@yahoo.fr
Hôtel El Jazira,"25, rue El Arbi Ben M'hidi,Jijel,Algérie",034 49 56 56 / 034 49 53 53,hoteldjazira@hotmail.com
Hôtel Kotama,"Rue Zighout Youcef,Jijel,Algérie",034 47 43 44 / 034 47 63 88,hotelkotama95@yahoo.fr
Hôtel Le Glacier,"26, rue 1er Novembre 1954,Jijel,Algérie",034 47 74 20 / 034 47 15 15,hotel.leglacier@gmail.com
Hôtel Convivial,"Rue Zighout Youcef,Jijel,Algérie",034 47 45 46 / 034 47 13 19,
Hôtel El Mourad,"Rue Kerroud Abdelkrim Taher,Jijel,Algéri...",034 55 38 38,hotelelmourad@hotmail.fr
Hôtel Barbarous Royal,"Rue Bourib El Djouhar.El Akabi,Jijel,Alg...",034 47 02 38,hotelbarbarousroyal@gmail.com
Hôtel La Crique,"Ouled Bounar,Jijel,Algérie",034 49 72 97 / 0667 16 95 56,hotel.lacrique@gmail.com
Easy Travel,"07, rue capitaine si Merbah.Miramar,Oran...",041 29 29 17 / 0558 05 33 38,easytravel31@gmail.com
NUMILOG,"2, rue du Zaccar.Hydra",0554 17 29 35,linda.belaidi@cevital.com
Get Tours,Résidence IRAT Promotion Bessa 16094 Oul...,0542 83 84 60,get.tours@hotmail.fr / contact@gettoursdz.com / commercial@gettoursdz.com
Jektis Voyages,"07, boulevard Mohamed V,Alger,Algérie",021 63 33 00 / 021 63 44 00 / 0661 43 81 81 / 0661 43 79 79 / 0770 11 22 40,info@jektisvoyagesalgerie.com
Agence Bensmail Voyage,"10, avenue Ould Kablia Saleha. Gambetta,...",041 83 43 12 / 0770 10 67 66 / 0770 59 02 62,agencebensmail@yahoo.fr
Alizes Voyages,"39, rue Mohamed Khemisti,Oran,Algérie,31...",041 33 56 21 / 0550 90 91 50,alizesvoyages31000@yahoo.fr
Dahlias Voyages,Imama ( face nouveau palais de la cultur...,043 21 15 93 / 0561 65 86 40,contact@dahlias-voyages.com
HBH / Hôtel Beni Hamad,"01, Rue Frantz Fanon,Bordj Bou Arreridj,...",035 69 02 02 / 035 69 02 03 / 035 69 02 04 / 0661 84 28 56,info@hotel-benihamad.dz
TRANSCARGO,"30, Parc Ben Omar.Kouba,Alger,Algérie",023 78 22 08 / 0770 31 15 55,info@transcargo.com
KITRANSIT / Khelifi International Transi...,"6, rue Ali Ben Mohamed Bellevue.El Harra...",021 82 54 92 / 021 82 36 92 / 0550 99 69 10 / 0554 51 27 87,info@transit-khelifi.com
El Moustachar Transit,"Bt A, n°1.Cité 20 Aout 1955.Dar El Beida...",021 75 44 33 / 0550 98 09 81 / 0551 83 97 46,elmoustachar@hotmail.com
GENITRANS,"13 bis, rue des Frères Bakiri.Belle Vue....",021 82 21 94 / 0770 20 02 04 / 0770 90 22 19 / 0661 55 52 81,genitranssarl@hotmail.com
TRANS MS,"60, rue Hassiba Ben Bouli. Alger Centre,...",021 23 73 93 / 0661 53 35 70 / 0550 90 06 24,m.kherchi@transms-dz.com
Transit Mouhoub,"343 lot Les AMandiers. Baba Hassen,Alger...",023 38 38 40 / 0551 42 21 79,kamtransit99@hotmail.fr
Transit Kouahi,"36, rue Asslah Hocine. Alger Centre,Alge...",0555 73 92 62,algertrans34@gmail.com
UCT / Union Consolidated Transport,Zone Industrielle n°11..Houche Sebaat.Pa...,023 85 08 41 / 023 85 08 44 / 0770 61 85 78,uct_entrepot@yahoo.fr
Tech Trans,"Bt A, local 1.Cité des 62 logts.Beni Mal...",038 76 53 37 / 0661 33 07 17,info@tech-transit.com
Ampère Tours,"Rue Chaouche salah.Ain Azel,Setif,Algéri...",036 55 45 95 / 036 55 45 93 / 0555 29 76 71 / 0555 60 99 07,contact@amperetours.com
Asamar Algerie,28 Avenue Malika Gaid. Les Tagarins. El...,023 38 32 96 / 0661 44 67 04 / 0661 44 67 05 / 0661 44 67 06,contact@asamar-algerie.com
Gogls Algerie,"113, cité la Cadat.Les Sources.Bir Moura...",0770 26 27 82 / 0982 54 21 70 / 0982 40 06 00,alg.management.ff.ip@geodis.com
Pacher Tours,"N°6, avenue Mekerkeb Benyoucef. Blida,Bl...",025 21 64 58 / 025 21 64 60 / 025 21 64 65 / 0553 46 77 52,contact@pachertours.com
Trans Services / Trans Services Ben Chei...,"143 villas, local 9A.Birtouta,Alger,Algé...",021 44 12 42 / 0550 40 30 12 / 0770 24 35 39,bfservices@live.fr
Khammal International Movers,"241, lot Alioua Fodil.Cherage,Alger,Algé...",0550 98 53 13 / 0550 44 24 74,contact@khammal-dz.com
Nihel Voyage,"31, avenue Victor Hugo.La Bastille,Oran,...",041 45 68 66 / 041 65 65 29 / 0770 78 78 09 / 0770 67 48 39 / 0770 99 90 58,nihelvoyages@hotmail.com
Al Weessem Travel,"100, boulevard Mostefa Benboulaid. H Khe...",041 62 23 36 / 0661 44 82 79,alweessem@outlook.com
Sidi el Houari Voyages,"3, place Adda Benaouda.Plateau,Oran,Algé...",041 41 59 24 / 0791 83 28 84 / 0560 30 42 24,svl_travel@yahoo.fr
SODEXO,"17, lot Mons. Ben Aknoun,Hassi Messaoud,...",0551 48 14 51,frederic.breyton@sodexo.com
